Time_Date,DTU_to_Infosys,Infosys_to_RG,RG_to_DTU
2019-09-15 18:00:00,16765.785,1111.9241,16425.314
2019-09-15 18:10:00,16878.85,1095.4247,16483.3
2019-09-15 18:20:00,16761.71,1073.6282,16465.469
2019-09-15 18:30:00,16572.076,1099.4568,16507.004
2019-09-15 18:40:00,16551.898,1132.9531,16515.684
2019-09-15 18:50:00,16535.334,1153.7122,16515.025
2019-09-15 19:00:00,16536.143,1152.5573,16555.352
2019-09-15 19:10:00,16442.863,1133.0071,16689.078
2019-09-15 19:20:00,16375.113,1135.1655,16690.379
2019-09-15 19:30:00,16345.89,1130.163,16725.451
2019-09-15 19:40:00,16324.998,1123.2085,16655.947
2019-09-15 19:50:00,16133.063,1107.3188,16534.717
2019-09-15 20:00:00,15805.131,1081.0387,16213.723
2019-09-15 20:10:00,15296.023,1017.62213,15652.532
2019-09-15 20:20:00,15297.736,1007.43884,15652.235
2019-09-15 20:30:00,15282.435,1008.35266,15615.535
2019-09-15 20:40:00,15252.581,992.06244,15607.024
2019-09-15 20:50:00,15246.63,982.2954,15591.247
2019-09-15 21:00:00,15254.357,981.2415,15583.314
2019-09-15 21:10:00,15254.12,985.2225,15571.169
2019-09-15 21:20:00,15257.228,963.13824,15562.657
2019-09-15 21:30:00,15285.814,975.4228,15541.288
2019-09-15 21:40:00,15327.86,978.95856,15551.714
2019-09-15 21:50:00,15387.558,978.9391,15528.086
2019-09-15 22:00:00,15359.792,973.5538,15483.894
2019-09-15 22:10:00,15371.281,975.89044,15490.669
2019-09-15 22:20:00,15259.709,1012.2966,15556.883
2019-09-15 22:30:00,15268.466,1019.7799,15563.404
2019-09-15 22:40:00,15291.944,1020.29877,15601.256
2019-09-15 22:50:00,15296.664,1007.33673,15635.13
2019-09-15 23:00:00,15326.754,1004.2122,15675.54
2019-09-16 00:00:00,15316.156,1013.27094,15756.1875
2019-09-16 00:10:00,15340.809,1013.6593,15790.914
2019-09-16 00:20:00,15338.039,1013.6923,15870.876
2019-09-16 00:30:00,15327.189,1025.8116,15909.532
2019-09-16 00:40:00,15352.743,1033.1271,15943.898
2019-09-16 00:50:00,15370.266,1052.6387,15999.448
2019-09-16 01:00:00,15386.306,1058.932,16039.443
2019-09-16 01:10:00,15404.51,1057.4281,16057.45
2019-09-16 01:20:00,15418.172,1047.7955,16004.558
2019-09-16 01:30:00,15331.244,1046.659,15940.711
2019-09-16 01:40:00,15338.399,1049.3453,15962.85
2019-09-16 01:50:00,15343.309,1046.3733,15958.39
2019-09-16 02:00:00,15337.961,1040.9781,15918.94
2019-09-16 02:10:00,15313.276,1040.7802,15890.45
2019-09-16 02:20:00,15315.7295,1041.3501,15899.008
2019-09-16 02:30:00,15316.022,1038.5951,15887.676
2019-09-16 02:40:00,15311.967,1035.6815,15862.72
2019-09-16 02:50:00,15305.207,1035.5609,15849.703
