Time_Date,DTU_to_Infosys,Infosys_to_RG,RG_to_DTU,TCF_DTI,TCF_IRG,TCF_RGD
2019-09-15 18:00:00,16765.785,1111.9241,16425.314,0.9307293134503934,0.7807250266510702,0.7582575749643373
2019-09-15 18:10:00,16878.85,1095.4247,16483.3,1.0,0.694147615970199,0.8049618342130072
2019-09-15 18:20:00,16761.71,1073.6282,16465.468999999997,0.9282327137273165,0.5797746974455489,0.7906000288347588
2019-09-15 18:30:00,16572.076,1099.4568,16507.004,0.8120510715467292,0.7153052809523398,0.8240539902718925
2019-09-15 18:40:00,16551.898,1132.9531,16515.683999999997,0.7996887674455664,0.8910706373525533,0.8310452117784336
2019-09-15 18:50:00,16535.334,1153.7122,16515.025,0.7895406256509541,1.0,0.8305144266433202
2019-09-15 19:00:00,16536.143,1152.5573,16555.352,0.7900362696205177,0.9939398855961223,0.8629954162394462
2019-09-15 19:10:00,16442.863,1133.0071,16689.078,0.7328871108061429,0.8913539919094933,0.970703721214572
2019-09-15 19:20:00,16375.113000000001,1135.1655,16690.379,0.6913792258396555,0.9026797784964962,0.9717515990002875
2019-09-15 19:30:00,16345.89,1130.163,16725.451,0.6734753893470247,0.8764301271800201,1.0
2019-09-15 19:40:00,16324.998,1123.2085,16655.947,0.6606756442146284,0.8399377333608433,0.9440186797706422
2019-09-15 19:50:00,16133.063,1107.3188,16534.717,0.5430842656014515,0.756559605520083,0.8463751563560914
2019-09-15 20:00:00,15805.131000000001,1081.0387,16213.723,0.34217262378846125,0.6186598630788808,0.5878336636980818
2019-09-15 20:10:00,15296.023000000001,1017.6221300000001,15652.532,0.030261239293723804,0.28589367613497724,0.1358278355323186
2019-09-15 20:20:00,15297.736,1007.43884,15652.235,0.03131073017117889,0.23245883120653024,0.13558861977339765
2019-09-15 20:30:00,15282.435,1008.35266,15615.535,0.021936381125093617,0.23725392493287137,0.10602896202107479
2019-09-15 20:40:00,15252.581,992.06244,15607.024,0.003645954589455425,0.1517741458486776,0.09917385991943917
2019-09-15 20:50:00,15246.63,982.2954,15591.247,0.0,0.10052349229663897,0.08646642884700348
2019-09-15 21:00:00,15254.357,981.2415,15583.313999999998,0.0047340432049605904,0.09499335586037035,0.0800768712189599
2019-09-15 21:10:00,15254.12,985.2225,15571.169,0.0045888421903919835,0.11588288347474114,0.07029479919165982
2019-09-15 21:20:00,15257.228000000001,963.13824,15562.657,0.006492997267526301,0.0,0.0634388916497583
2019-09-15 21:30:00,15285.813999999998,975.4228,15541.288,0.024006567742093164,0.06446085288882102,0.04622743861135671
2019-09-15 21:40:00,15327.86,978.9585599999999,15551.714,0.04976657558417457,0.08301406970815912,0.05462495882186615
2019-09-15 21:50:00,15387.558,978.9391,15528.086000000001,0.08634130203036464,0.08291195712152942,0.03559401622317855
2019-09-15 22:00:00,15359.792,973.5538,15483.893999999998,0.06933011481295433,0.054653636834749254,-1.4650873085535786e-15
2019-09-15 22:10:00,15371.281,975.89044,15490.669,0.07636899437575921,0.0669147033519166,0.00545685780032623
2019-09-15 22:20:00,15259.708999999999,1012.2966,15556.883,0.008013012951685269,0.25794898736427596,0.05878827955542882
2019-09-15 22:30:00,15268.466,1019.7799,15563.403999999999,0.013378098540638613,0.29721615691881526,0.06404055552825876
2019-09-15 22:40:00,15291.944,1020.2987699999999,15601.256000000001,0.02776218892061139,0.2999388268995402,0.09452808046670505
2019-09-15 22:50:00,15296.663999999999,1007.3367300000001,15635.13,0.03065395596181867,0.23192302872858453,0.12181156402807031
2019-09-15 23:00:00,15326.753999999999,1004.2122,15675.54,0.04908897084951773,0.2155276618064717,0.15435940516625538
2019-09-16 00:00:00,15316.156,1013.27094,15756.1875,0.04259597358199366,0.26306164808665367,0.21931614899678356
2019-09-16 00:10:00,15340.809,1013.6593,15790.913999999999,0.05769994240972426,0.26509949208170963,0.24728627038468506
2019-09-16 00:20:00,15338.038999999999,1013.6923,15870.876,0.05600286726054067,0.2652726531998394,0.3116908849130566
2019-09-16 00:30:00,15327.188999999998,1025.8116,15909.532,0.04935547904081516,0.32886633619829286,0.3428259838251476
2019-09-16 00:40:00,15352.743,1033.1271,15943.898000000001,0.06501145678891401,0.3672530077036755,0.3705057439972555
2019-09-16 00:50:00,15370.266000000001,1052.6387,15999.448,0.07574714192939817,0.46963635535515974,0.41524795075860377
2019-09-16 01:00:00,15386.306,1058.932,16039.443000000001,0.08557424856943387,0.5026592300438111,0.4474615341865098
2019-09-16 01:10:00,15404.51,1057.4281,16057.45,0.09672715687836266,0.49476780563304723,0.46196509705152494
2019-09-16 01:20:00,15418.171999999999,1047.7955,16004.558,0.10509735207263698,0.4442225999816553,0.4193637505164889
2019-09-16 01:30:00,15331.243999999999,1046.6589999999999,15940.711000000001,0.051839825513717276,0.43825903601940114,0.36793880587037137
2019-09-16 01:40:00,15338.399,1049.3453,15962.85,0.056223425763683985,0.45235487576581807,0.38577044791338605
2019-09-16 01:50:00,15343.309,1046.3733,15958.39,0.05923159868155036,0.4367598805209274,0.3821781843282257
2019-09-16 02:00:00,15337.961000000001,1040.9781,15918.94,0.0559550795848611,0.4084496118987089,0.3504035658451445
2019-09-16 02:10:00,15313.276000000002,1040.7802,15890.45,0.04083150555685048,0.4074111699205912,0.32745657267447265
2019-09-16 02:20:00,15315.7295,1041.3501,15899.008,0.042334673022019265,0.4104016099576256,0.33434953046859656
2019-09-16 02:30:00,15316.021999999999,1038.5951,15887.676000000001,0.04251387680582266,0.3959452802471021,0.3252222813773357
